Status,Seq,URL,SKU,Product Code,IsBundle,User-pc count,SKU Type,Page to Land,Site Code,Site Language,Sku Language,Country Code,Language Code,Currency Code,Price,,,org,Channel,Promotion (Flex),Segment,Keyword Category,Email Program,Affiliate Sub Channel,Period (Time),Is Upgrade,PL Code,tppc,Batch Name,sku lang priority,Valid From,Valid To,Phased Out,Source,Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110070,http://buy.norton.com/partneroffer?ctry=LU&lang=FR&selSKU=21276127&tppc=A08E7460-D6FA-E082-8E91-36882647EB0A&ptype=cart,21276127,NIS_2013_12MO_PC,N,1-3,Product,cart,FR_SITE,French,FR,LU,fr,EUR,37.99,NIS_2013_12MO_PC1-3cartFR_SITEFrenchEUR37.99_PCCU_ASK,NIS_2013_12MO_PC1-3cartFR_SITEFrenchEUR37.99,EMKTG,Partner/LOEM,45%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_46PCTOFF,A08E7460-D6FA-E082-8E91-36882647EB0A,SPARK-9647,1,,,,NIS_2013_12MO_PC1-3cartFR_SITEFrenchEUR37.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=LU&lang=FR&selSKU=21276127&tppc=A08E7460-D6FA-E082-8E91-36882647EB0A&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110071,http://buy.norton.com/partneroffer?ctry=FR&lang=FR&selSKU=21276036&tppc=92368756-E4AE-07D7-0F46-4D6DD2BFA54C&ptype=cart,21276036,NAV_2013_12MO_PC,N,1-3,Product,cart,FR_SITE,French,FR,FR,fr,EUR,34.99,NAV_2013_12MO_PC1-3cartFR_SITEFrenchEUR34.99_PCCU_ASK,NAV_2013_12MO_PC1-3cartFR_SITEFrenchEUR34.99,EMKTG,Partner/LOEM,10%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_13PCTOFF,92368756-E4AE-07D7-0F46-4D6DD2BFA54C,SPARK-9647,1,,,,NAV_2013_12MO_PC1-3cartFR_SITEFrenchEUR34.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=FR&lang=FR&selSKU=21276036&tppc=92368756-E4AE-07D7-0F46-4D6DD2BFA54C&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110071,http://buy.norton.com/partneroffer?ctry=LU&lang=FR&selSKU=21276036&tppc=92368756-E4AE-07D7-0F46-4D6DD2BFA54C&ptype=cart,21276036,NAV_2013_12MO_PC,N,1-3,Product,cart,FR_SITE,French,FR,LU,fr,EUR,34.99,NAV_2013_12MO_PC1-3cartFR_SITEFrenchEUR34.99_PCCU_ASK,NAV_2013_12MO_PC1-3cartFR_SITEFrenchEUR34.99,EMKTG,Partner/LOEM,10%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_13PCTOFF,92368756-E4AE-07D7-0F46-4D6DD2BFA54C,SPARK-9647,1,,,,NAV_2013_12MO_PC1-3cartFR_SITEFrenchEUR34.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=LU&lang=FR&selSKU=21276036&tppc=92368756-E4AE-07D7-0F46-4D6DD2BFA54C&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110072,http://buy.norton.com/partneroffer?ctry=IT&lang=IT&selSKU=21276152&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,21276152,N360_2013_12MO_PC,N,1-3,Product,cart,IT_SITE,Italian,IT,IT,it,EUR,39.99,N360_2013_12MO_PC1-3cartIT_SITEItalianEUR39.99_PCCU_ASK,N360_2013_12MO_PC1-3cartIT_SITEItalianEUR39.99,EMKTG,Partner/LOEM,50%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_50PCTOFF,6E4B2B64-D72B-31F7-B75C-8D4591DD2B25,SPARK-9647,1,,,,N360_2013_12MO_PC1-3cartIT_SITEItalianEUR39.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=IT&lang=IT&selSKU=21276152&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110073,http://buy.norton.com/partneroffer?ctry=IT&lang=IT&selSKU=21276107&tppc=A08E7460-D6FA-E082-8E91-36882647EB0A&ptype=cart,21276107,NIS_2013_12MO_PC,N,1-3,Product,cart,IT_SITE,Italian,IT,IT,it,EUR,37.99,NIS_2013_12MO_PC1-3cartIT_SITEItalianEUR37.99_PCCU_ASK,NIS_2013_12MO_PC1-3cartIT_SITEItalianEUR37.99,EMKTG,Partner/LOEM,45%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_46PCTOFF,A08E7460-D6FA-E082-8E91-36882647EB0A,SPARK-9647,1,,,,NIS_2013_12MO_PC1-3cartIT_SITEItalianEUR37.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=IT&lang=IT&selSKU=21276107&tppc=A08E7460-D6FA-E082-8E91-36882647EB0A&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110074,http://buy.norton.com/partneroffer?ctry=IT&lang=IT&selSKU=21276033&tppc=92368756-E4AE-07D7-0F46-4D6DD2BFA54C&ptype=cart,21276033,NAV_2013_12MO_PC,N,1-3,Product,cart,IT_SITE,Italian,IT,IT,it,EUR,34.99,NAV_2013_12MO_PC1-3cartIT_SITEItalianEUR34.99_PCCU_ASK,NAV_2013_12MO_PC1-3cartIT_SITEItalianEUR34.99,EMKTG,Partner/LOEM,10%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_13PCTOFF,92368756-E4AE-07D7-0F46-4D6DD2BFA54C,SPARK-9647,1,,,,NAV_2013_12MO_PC1-3cartIT_SITEItalianEUR34.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=IT&lang=IT&selSKU=21276033&tppc=92368756-E4AE-07D7-0F46-4D6DD2BFA54C&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110075,http://buy.norton.com/partneroffer?ctry=AT&lang=DE&selSKU=21276147&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,21276147,N360_2013_12MO_PC,N,1-3,Product,cart,DE_SITE,German,GE,AT,de,EUR,34.99,N360_2013_12MO_PC1-3cartDE_SITEGermanEUR34.99_PCCU_ASK,N360_2013_12MO_PC1-3cartDE_SITEGermanEUR34.99,EMKTG,Partner/LOEM,50%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_50PCTOFF,6E4B2B64-D72B-31F7-B75C-8D4591DD2B25,SPARK-9647,1,,,,N360_2013_12MO_PC1-3cartDE_SITEGermanEUR34.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=AT&lang=DE&selSKU=21276147&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110075,http://buy.norton.com/partneroffer?ctry=DE&lang=DE&selSKU=21276147&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,21276147,N360_2013_12MO_PC,N,1-3,Product,cart,DE_SITE,German,GE,DE,de,EUR,34.99,N360_2013_12MO_PC1-3cartDE_SITEGermanEUR34.99_PCCU_ASK,N360_2013_12MO_PC1-3cartDE_SITEGermanEUR34.99,EMKTG,Partner/LOEM,50%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_50PCTOFF,6E4B2B64-D72B-31F7-B75C-8D4591DD2B25,SPARK-9647,1,,,,N360_2013_12MO_PC1-3cartDE_SITEGermanEUR34.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=DE&lang=DE&selSKU=21276147&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110076,http://buy.norton.com/partneroffer?ctry=AT&lang=DE&selSKU=21276104&tppc=49BE0F57-DF68-98F1-26E2-4AF9A8DC9302&ptype=cart,21276104,NIS_2013_12MO_PC,N,1-3,Product,cart,DE_SITE,German,GE,AT,de,EUR,31.99,NIS_2013_12MO_PC1-3cartDE_SITEGermanEUR31.99_PCCU_ASK,NIS_2013_12MO_PC1-3cartDE_SITEGermanEUR31.99,EMKTG,Partner/LOEM,45%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_47PCTOFF,49BE0F57-DF68-98F1-26E2-4AF9A8DC9302,SPARK-9647,1,,,,NIS_2013_12MO_PC1-3cartDE_SITEGermanEUR31.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=AT&lang=DE&selSKU=21276104&tppc=49BE0F57-DF68-98F1-26E2-4AF9A8DC9302&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110076,http://buy.norton.com/partneroffer?ctry=DE&lang=DE&selSKU=21276104&tppc=49BE0F57-DF68-98F1-26E2-4AF9A8DC9302&ptype=cart,21276104,NIS_2013_12MO_PC,N,1-3,Product,cart,DE_SITE,German,GE,DE,de,EUR,31.99,NIS_2013_12MO_PC1-3cartDE_SITEGermanEUR31.99_PCCU_ASK,NIS_2013_12MO_PC1-3cartDE_SITEGermanEUR31.99,EMKTG,Partner/LOEM,45%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_47PCTOFF,49BE0F57-DF68-98F1-26E2-4AF9A8DC9302,SPARK-9647,1,,,,NIS_2013_12MO_PC1-3cartDE_SITEGermanEUR31.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=DE&lang=DE&selSKU=21276104&tppc=49BE0F57-DF68-98F1-26E2-4AF9A8DC9302&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110077,http://buy.norton.com/partneroffer?ctry=AT&lang=DE&selSKU=21276034&tppc=A10161AE-8A7A-5D84-BA32-CD15716AE16E&ptype=cart,21276034,NAV_2013_12MO_PC,N,1-3,Product,cart,DE_SITE,German,GE,AT,de,EUR,29.99,NAV_2013_12MO_PC1-3cartDE_SITEGermanEUR29.99_PCCU_ASK,NAV_2013_12MO_PC1-3cartDE_SITEGermanEUR29.99,EMKTG,Partner/LOEM,25%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_25PCTOFF,A10161AE-8A7A-5D84-BA32-CD15716AE16E,SPARK-9647,1,,,,NAV_2013_12MO_PC1-3cartDE_SITEGermanEUR29.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=AT&lang=DE&selSKU=21276034&tppc=A10161AE-8A7A-5D84-BA32-CD15716AE16E&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110077,http://buy.norton.com/partneroffer?ctry=DE&lang=DE&selSKU=21276034&tppc=A10161AE-8A7A-5D84-BA32-CD15716AE16E&ptype=cart,21276034,NAV_2013_12MO_PC,N,1-3,Product,cart,DE_SITE,German,GE,DE,de,EUR,29.99,NAV_2013_12MO_PC1-3cartDE_SITEGermanEUR29.99_PCCU_ASK,NAV_2013_12MO_PC1-3cartDE_SITEGermanEUR29.99,EMKTG,Partner/LOEM,25%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_25PCTOFF,A10161AE-8A7A-5D84-BA32-CD15716AE16E,SPARK-9647,1,,,,NAV_2013_12MO_PC1-3cartDE_SITEGermanEUR29.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=DE&lang=DE&selSKU=21276034&tppc=A10161AE-8A7A-5D84-BA32-CD15716AE16E&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110078,http://buy.norton.com/partneroffer?ctry=ES&lang=ES&selSKU=21276155&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,21276155,N360_2013_12MO_PC,N,1-3,Product,cart,IB_SITE,Spanish,ES,ES,es,EUR,44.99,N360_2013_12MO_PC1-3cartIB_SITESpanishEUR44.99_PCCU_ASK,N360_2013_12MO_PC1-3cartIB_SITESpanishEUR44.99,EMKTG,Partner/LOEM,50%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_50PCTOFF,6E4B2B64-D72B-31F7-B75C-8D4591DD2B25,SPARK-9647,1,,,,N360_2013_12MO_PC1-3cartIB_SITESpanishEUR44.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=ES&lang=ES&selSKU=21276155&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110079,http://buy.norton.com/partneroffer?ctry=ES&lang=ES&selSKU=21276128&tppc=B7D37237-45A3-0AB2-EF02-F87ACFBB2435&ptype=cart,21276128,NIS_2013_12MO_PC,N,1-3,Product,cart,IB_SITE,Spanish,ES,ES,es,EUR,41.99,NIS_2013_12MO_PC1-3cartIB_SITESpanishEUR41.99_PCCU_ASK,NIS_2013_12MO_PC1-3cartIB_SITESpanishEUR41.99,EMKTG,Partner/LOEM,45%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_48PCTOFF,B7D37237-45A3-0AB2-EF02-F87ACFBB2435,SPARK-9647,1,,,,NIS_2013_12MO_PC1-3cartIB_SITESpanishEUR41.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=ES&lang=ES&selSKU=21276128&tppc=B7D37237-45A3-0AB2-EF02-F87ACFBB2435&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110080,http://buy.norton.com/partneroffer?ctry=ES&lang=ES&selSKU=21276018&tppc=0EECDDE1-300E-1BEE-F0E6-C731F257DB35&ptype=cart,21276018,NAV_2013_12MO_PC,N,1-3,Product,cart,IB_SITE,Spanish,ES,ES,es,EUR,39.99,NAV_2013_12MO_PC1-3cartIB_SITESpanishEUR39.99_PCCU_ASK,NAV_2013_12MO_PC1-3cartIB_SITESpanishEUR39.99,EMKTG,Partner/LOEM,10%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_11PCTOFF,0EECDDE1-300E-1BEE-F0E6-C731F257DB35,SPARK-9647,1,,,,NAV_2013_12MO_PC1-3cartIB_SITESpanishEUR39.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=ES&lang=ES&selSKU=21276018&tppc=0EECDDE1-300E-1BEE-F0E6-C731F257DB35&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110081,http://buy.norton.com/partneroffer?ctry=BE&lang=NL&selSKU=21276145&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,21276145,N360_2013_12MO_PC,N,1-3,Product,cart,NL_SITE,Dutch,NL,BE,nl,EUR,39.99,N360_2013_12MO_PC1-3cartNL_SITEDutchEUR39.99_PCCU_ASK,N360_2013_12MO_PC1-3cartNL_SITEDutchEUR39.99,EMKTG,Partner/LOEM,50%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_50PCTOFF,6E4B2B64-D72B-31F7-B75C-8D4591DD2B25,SPARK-9647,1,,,,N360_2013_12MO_PC1-3cartNL_SITEDutchEUR39.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=BE&lang=NL&selSKU=21276145&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110081,http://buy.norton.com/partneroffer?ctry=NL&lang=NL&selSKU=21276145&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,21276145,N360_2013_12MO_PC,N,1-3,Product,cart,NL_SITE,Dutch,NL,NL,nl,EUR,39.99,N360_2013_12MO_PC1-3cartNL_SITEDutchEUR39.99_PCCU_ASK,N360_2013_12MO_PC1-3cartNL_SITEDutchEUR39.99,EMKTG,Partner/LOEM,50%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_50PCTOFF,6E4B2B64-D72B-31F7-B75C-8D4591DD2B25,SPARK-9647,1,,,,N360_2013_12MO_PC1-3cartNL_SITEDutchEUR39.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=NL&lang=NL&selSKU=21276145&tppc=6E4B2B64-D72B-31F7-B75C-8D4591DD2B25&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110082,http://buy.norton.com/partneroffer?ctry=BE&lang=NL&selSKU=21276114&tppc=2EAD23B9-042E-CA69-6C7B-8CBE241F521B&ptype=cart,21276114,NIS_2013_12MO_PC,N,1-3,Product,cart,NL_SITE,Dutch,NL,BE,nl,EUR,37.99,NIS_2013_12MO_PC1-3cartNL_SITEDutchEUR37.99_PCCU_ASK,NIS_2013_12MO_PC1-3cartNL_SITEDutchEUR37.99,EMKTG,Partner/LOEM,50%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_49PCTOFF,2EAD23B9-042E-CA69-6C7B-8CBE241F521B,SPARK-9647,1,,,,NIS_2013_12MO_PC1-3cartNL_SITEDutchEUR37.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=BE&lang=NL&selSKU=21276114&tppc=2EAD23B9-042E-CA69-6C7B-8CBE241F521B&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110082,http://buy.norton.com/partneroffer?ctry=NL&lang=NL&selSKU=21276114&tppc=2EAD23B9-042E-CA69-6C7B-8CBE241F521B&ptype=cart,21276114,NIS_2013_12MO_PC,N,1-3,Product,cart,NL_SITE,Dutch,NL,NL,nl,EUR,37.99,NIS_2013_12MO_PC1-3cartNL_SITEDutchEUR37.99_PCCU_ASK,NIS_2013_12MO_PC1-3cartNL_SITEDutchEUR37.99,EMKTG,Partner/LOEM,50%,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_49PCTOFF,2EAD23B9-042E-CA69-6C7B-8CBE241F521B,SPARK-9647,1,,,,NIS_2013_12MO_PC1-3cartNL_SITEDutchEUR37.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=NL&lang=NL&selSKU=21276114&tppc=2EAD23B9-042E-CA69-6C7B-8CBE241F521B&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live,2012110083,http://buy.norton.com/partneroffer?ctry=BE&lang=NL&selSKU=21276026&tppc=2F7D2969-0655-C8F5-089C-E01AEAF903A8&ptype=cart,21276026,NAV_2013_12MO_PC,N,1-3,Product,cart,NL_SITE,Dutch,NL,BE,nl,EUR,34.99,NAV_2013_12MO_PC1-3cartNL_SITEDutchEUR34.99_PCCU_ASK,NAV_2013_12MO_PC1-3cartNL_SITEDutchEUR34.99,EMKTG,Partner/LOEM,10CU,ALL,ALL,ALL,ALL,ALL,N,ECOM_MKT_22PCTOFF,2F7D2969-0655-C8F5-089C-E01AEAF903A8,SPARK-9647,1,,,,NAV_2013_12MO_PC1-3cartNL_SITEDutchEUR34.99,_PCCU_ASK,http://buy.norton.com/partneroffer?ctry=BE&lang=NL&selSKU=21276026&tppc=2F7D2969-0655-C8F5-089C-E01AEAF903A8&ptype=cart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
